rank,sjis_code,lead,trail
1,0xEB40,0xEB,0x40
2,0xEB41,0xEB,0x41
3,0xEB42,0xEB,0x42
4,0xEB43,0xEB,0x43
5,0xEB44,0xEB,0x44
6,0xEB45,0xEB,0x45
7,0xEB46,0xEB,0x46
8,0xEB47,0xEB,0x47
9,0xEB48,0xEB,0x48
10,0xEB49,0xEB,0x49
11,0xEB4A,0xEB,0x4A
12,0xEB4B,0xEB,0x4B
13,0xEB4C,0xEB,0x4C
14,0xEB4D,0xEB,0x4D
15,0xEB4E,0xEB,0x4E
16,0xEB4F,0xEB,0x4F
17,0xEB50,0xEB,0x50
18,0xEB51,0xEB,0x51
19,0xEB52,0xEB,0x52
20,0xEB53,0xEB,0x53
21,0xEB54,0xEB,0x54
22,0xEB55,0xEB,0x55
23,0xEB56,0xEB,0x56
24,0xEB57,0xEB,0x57
25,0xEB58,0xEB,0x58
26,0xEB59,0xEB,0x59
27,0xEB5A,0xEB,0x5A
28,0xEB5B,0xEB,0x5B
29,0xEB5C,0xEB,0x5C
30,0xEB5D,0xEB,0x5D
31,0xEB5E,0xEB,0x5E
32,0xEB5F,0xEB,0x5F
33,0xEB60,0xEB,0x60
34,0xEB61,0xEB,0x61
35,0xEB62,0xEB,0x62
36,0xEB63,0xEB,0x63
37,0xEB64,0xEB,0x64
38,0xEB65,0xEB,0x65
39,0xEB66,0xEB,0x66
40,0xEB67,0xEB,0x67
41,0xEB68,0xEB,0x68
42,0xEB69,0xEB,0x69
43,0xEB6A,0xEB,0x6A
44,0xEB6B,0xEB,0x6B
45,0xEB6C,0xEB,0x6C
46,0xEB6D,0xEB,0x6D
47,0xEB6E,0xEB,0x6E
48,0xEB6F,0xEB,0x6F
49,0xEB70,0xEB,0x70
50,0xEB71,0xEB,0x71
51,0xEB72,0xEB,0x72
52,0xEB73,0xEB,0x73
53,0xEB74,0xEB,0x74
54,0xEB75,0xEB,0x75
55,0xEB76,0xEB,0x76
56,0xEB77,0xEB,0x77
57,0xEB78,0xEB,0x78
58,0xEB79,0xEB,0x79
59,0xEB7A,0xEB,0x7A
60,0xEB7B,0xEB,0x7B
61,0xEB7C,0xEB,0x7C
62,0xEB7D,0xEB,0x7D
63,0xEB7E,0xEB,0x7E
64,0xEB80,0xEB,0x80
65,0xEB81,0xEB,0x81
66,0xEB82,0xEB,0x82
67,0xEB83,0xEB,0x83
68,0xEB84,0xEB,0x84
69,0xEB85,0xEB,0x85
70,0xEB86,0xEB,0x86
71,0xEB87,0xEB,0x87
72,0xEB88,0xEB,0x88
73,0xEB89,0xEB,0x89
74,0xEB8A,0xEB,0x8A
75,0xEB8B,0xEB,0x8B
76,0xEB8C,0xEB,0x8C
77,0xEB8D,0xEB,0x8D
78,0xEB8E,0xEB,0x8E
79,0xEB8F,0xEB,0x8F
80,0xEB90,0xEB,0x90
81,0xEB91,0xEB,0x91
82,0xEB92,0xEB,0x92
83,0xEB93,0xEB,0x93
84,0xEB94,0xEB,0x94
85,0xEB95,0xEB,0x95
86,0xEB96,0xEB,0x96
87,0xEB97,0xEB,0x97
88,0xEB98,0xEB,0x98
89,0xEB99,0xEB,0x99
90,0xEB9A,0xEB,0x9A
91,0xEB9B,0xEB,0x9B
92,0xEB9C,0xEB,0x9C
93,0xEB9D,0xEB,0x9D
94,0xEB9E,0xEB,0x9E
95,0xEB9F,0xEB,0x9F
96,0xEBA0,0xEB,0xA0
97,0xEBA1,0xEB,0xA1
98,0xEBA2,0xEB,0xA2
99,0xEBA3,0xEB,0xA3
100,0xEBA4,0xEB,0xA4
101,0xEBA5,0xEB,0xA5
102,0xEBA6,0xEB,0xA6
103,0xEBA7,0xEB,0xA7
104,0xEBA8,0xEB,0xA8
105,0xEBA9,0xEB,0xA9
106,0xEBAA,0xEB,0xAA
107,0xEBAB,0xEB,0xAB
108,0xEBAC,0xEB,0xAC
109,0xEBAD,0xEB,0xAD
110,0xEBAE,0xEB,0xAE
111,0xEBAF,0xEB,0xAF
112,0xEBB0,0xEB,0xB0
113,0xEBB1,0xEB,0xB1
114,0xEBB2,0xEB,0xB2
115,0xEBB3,0xEB,0xB3
116,0xEBB4,0xEB,0xB4
117,0xEBB5,0xEB,0xB5
118,0xEBB6,0xEB,0xB6
119,0xEBB7,0xEB,0xB7
120,0xEBB8,0xEB,0xB8
121,0xEBB9,0xEB,0xB9
122,0xEBBA,0xEB,0xBA
123,0xEBBB,0xEB,0xBB
124,0xEBBC,0xEB,0xBC
125,0xEBBD,0xEB,0xBD
126,0xEBBE,0xEB,0xBE
127,0xEBBF,0xEB,0xBF
128,0xEBC0,0xEB,0xC0
129,0xEBC1,0xEB,0xC1
130,0xEBC2,0xEB,0xC2
131,0xEBC3,0xEB,0xC3
132,0xEBC4,0xEB,0xC4
133,0xEBC5,0xEB,0xC5
134,0xEBC6,0xEB,0xC6
135,0xEBC7,0xEB,0xC7
136,0xEBC8,0xEB,0xC8
137,0xEBC9,0xEB,0xC9
138,0xEBCA,0xEB,0xCA
139,0xEBCB,0xEB,0xCB
140,0xEBCC,0xEB,0xCC
141,0xEBCD,0xEB,0xCD
142,0xEBCE,0xEB,0xCE
143,0xEBCF,0xEB,0xCF
144,0xEBD0,0xEB,0xD0
145,0xEBD1,0xEB,0xD1
146,0xEBD2,0xEB,0xD2
147,0xEBD3,0xEB,0xD3
148,0xEBD4,0xEB,0xD4
149,0xEBD5,0xEB,0xD5
150,0xEBD6,0xEB,0xD6
151,0xEBD7,0xEB,0xD7
152,0xEBD8,0xEB,0xD8
153,0xEBD9,0xEB,0xD9
154,0xEBDA,0xEB,0xDA
155,0xEBDB,0xEB,0xDB
156,0xEBDC,0xEB,0xDC
157,0xEBDD,0xEB,0xDD
158,0xEBDE,0xEB,0xDE
159,0xEBDF,0xEB,0xDF
160,0xEBE0,0xEB,0xE0
161,0xEBE1,0xEB,0xE1
162,0xEBE2,0xEB,0xE2
163,0xEBE3,0xEB,0xE3
164,0xEBE4,0xEB,0xE4
165,0xEBE5,0xEB,0xE5
166,0xEBE6,0xEB,0xE6
167,0xEBE7,0xEB,0xE7
168,0xEBE8,0xEB,0xE8
169,0xEBE9,0xEB,0xE9
170,0xEBEA,0xEB,0xEA
171,0xEBEB,0xEB,0xEB
172,0xEBEC,0xEB,0xEC
173,0xEBED,0xEB,0xED
174,0xEBEE,0xEB,0xEE
175,0xEBEF,0xEB,0xEF
176,0xEBF0,0xEB,0xF0
177,0xEBF1,0xEB,0xF1
178,0xEBF2,0xEB,0xF2
179,0xEBF3,0xEB,0xF3
180,0xEBF4,0xEB,0xF4
181,0xEBF5,0xEB,0xF5
182,0xEBF6,0xEB,0xF6
183,0xEBF7,0xEB,0xF7
184,0xEBF8,0xEB,0xF8
185,0xEBF9,0xEB,0xF9
186,0xEBFA,0xEB,0xFA
187,0xEBFB,0xEB,0xFB
188,0xEBFC,0xEB,0xFC
189,0xEC40,0xEC,0x40
190,0xEC41,0xEC,0x41
191,0xEC42,0xEC,0x42
192,0xEC43,0xEC,0x43
193,0xEC44,0xEC,0x44
